"","searchText","label","alias","description","uri","methodSitelinks","methodSitelinksResult","methodB","methodBResult","methodCMatch","methodCResult","methodC","matchFilter"
"35","Intellectual Property","intellectual property","","legal concept","http://www.wikidata.org/entity/Q131257",FALSE,NA,FALSE,NA,12,"Q131257",TRUE,TRUE
"36","book burnings","book burning","book burnings","practice of destroying, often ceremoniously, books or other written material","http://www.wikidata.org/entity/Q22702",FALSE,NA,FALSE,NA,11,"Q22702",TRUE,TRUE
"37","classical mechanics","classical mechanics","","sub-field of mechanics, which is concerned with the set of physical laws describing the motion of bodies under the action of a system of forces","http://www.wikidata.org/entity/Q11397",FALSE,NA,FALSE,NA,11,"Q11397",TRUE,TRUE
"38","elementary school","primary school","elementary school","school in which children receive primary or elementary education from the age of about five to twelve","http://www.wikidata.org/entity/Q9842",FALSE,NA,FALSE,NA,11,"Q9842",TRUE,TRUE
"39","information theory","information theory","","mathematical theory from the field of probability theory and statistics","http://www.wikidata.org/entity/Q131222",FALSE,NA,FALSE,NA,11,"Q131222",TRUE,TRUE
"40","Lincoln University","Lincoln University","","New Zealand university","http://www.wikidata.org/entity/Q1048626",FALSE,NA,FALSE,NA,11,"Q1048626",TRUE,TRUE
"41","Magnetic Field","magnetic field","","spatial distribution of vectors allowing the calculation of the magnetic force on a test particle","http://www.wikidata.org/entity/Q11408",FALSE,NA,FALSE,NA,11,"Q11408",TRUE,TRUE
"42","thought experiments","thought experiment","thought experiments","considering hypothesis, theory, or principle for the purpose of thinking through its consequences","http://www.wikidata.org/entity/Q147027",FALSE,NA,FALSE,NA,11,"Q147027",TRUE,TRUE
"43","atomic bomb","atomic bomb","","explosive device","http://www.wikidata.org/entity/Q650051",FALSE,NA,FALSE,NA,10,"Q650051",TRUE,TRUE
"44","Beit Hatfutsot","Beit Hatfutsot","","museum in Israel","http://www.wikidata.org/entity/Q796764",FALSE,NA,FALSE,NA,10,"Q796764",TRUE,TRUE
"45","Digital Library","digital library","","library in which collections are stored in electronic media formats and accessible via computers","http://www.wikidata.org/entity/Q212805",FALSE,NA,FALSE,NA,10,"Q212805",TRUE,TRUE
"46","military service","military service","","performing the service in the armed forces of a state","http://www.wikidata.org/entity/Q209572",FALSE,NA,FALSE,NA,10,"Q209572",TRUE,TRUE
"47","wave equation","wave equation","","second-order linear differential equation important in physics","http://www.wikidata.org/entity/Q193846",FALSE,NA,FALSE,NA,10,"Q193846",TRUE,TRUE
"48","academic freedom","academic freedom","","liberty","http://www.wikidata.org/entity/Q414706",FALSE,NA,FALSE,NA,9,"Q414706",TRUE,TRUE
"49","angular momentum","angular momentum","","measure of the extent to which an object will continue to rotate in the absence of an applied torque","http://www.wikidata.org/entity/Q161254",FALSE,NA,FALSE,NA,9,"Q161254",TRUE,TRUE
"50","Prime Minister","prime minister","","most senior minister of cabinet in the executive branch of government in a parliamentary system","http://www.wikidata.org/entity/Q14212",FALSE,NA,FALSE,NA,9,"Q14212",TRUE,TRUE
"51","public domain","public domain","","works that are no longer in copyright term or were never protected by copyright law","http://www.wikidata.org/entity/Q19652",FALSE,NA,FALSE,NA,9,"Q19652",TRUE,TRUE
"52","Euclidean geometry","Euclidean geometry","","mathematical system attributed to Euclid","http://www.wikidata.org/entity/Q162886",FALSE,NA,FALSE,NA,8,"Q162886",TRUE,TRUE
"53","Indian people","Indians","Indian people","nationals or citizens of India","http://www.wikidata.org/entity/Q862086",FALSE,NA,FALSE,NA,8,"Q862086",TRUE,TRUE
"54","popular culture","popular culture","","culture aimed at wider audiences","http://www.wikidata.org/entity/Q131265",FALSE,NA,FALSE,NA,8,"Q131265",TRUE,TRUE
"55","discussion group","Internet forum","discussion group","online discussion site","http://www.wikidata.org/entity/Q168210",FALSE,NA,FALSE,NA,7,"Q168210",TRUE,TRUE
"56","field theory","field theory","","theory in mathematics","http://www.wikidata.org/entity/Q903820",FALSE,NA,FALSE,NA,7,"Q903820",TRUE,TRUE
"57","Oval Office","Oval Office","","office of the U.S. President","http://www.wikidata.org/entity/Q338067",FALSE,NA,FALSE,NA,7,"Q338067",TRUE,TRUE
"58","social life","social relation","social life","relationship between two people or groups in which their thinking, acting or feeling is related mutually","http://www.wikidata.org/entity/Q853725",FALSE,NA,FALSE,NA,7,"Q853725",TRUE,TRUE
"59","alma mater","alma mater","","school or university that a person has attended","http://www.wikidata.org/entity/Q174376",FALSE,NA,FALSE,NA,6,"Q174376",TRUE,TRUE
"60","analytical mechanics","analytical mechanics","","formalism of mechanics based on the least action principle","http://www.wikidata.org/entity/Q833065",FALSE,NA,FALSE,NA,6,"Q833065",TRUE,TRUE
"61","Experimental Physics","experimental physics","","category of disciplines and sub-disciplines concerned with the observation of physical phenomena","http://www.wikidata.org/entity/Q18366",FALSE,NA,FALSE,NA,6,"Q18366",TRUE,TRUE
"62","Hungarian Empire","Kingdom of Hungary","Hungarian Empire","former Central European monarchy (1000–1946)","http://www.wikidata.org/entity/Q171150",FALSE,NA,FALSE,NA,6,"Q171150",TRUE,TRUE
"63","Lloyd George","Lloyd George","","died 1974","http://www.wikidata.org/entity/Q75963446",FALSE,NA,FALSE,NA,6,"Q75963446",TRUE,TRUE
"64","naval officer","naval officer","","commissioned officer serving in a navy","http://www.wikidata.org/entity/Q10669499",FALSE,NA,FALSE,NA,6,"Q10669499",TRUE,TRUE
"65","physical principle","physical law","physical principle","","http://www.wikidata.org/entity/Q214070",FALSE,NA,FALSE,NA,6,"Q214070",TRUE,TRUE
"66","public lecture","speech","public lecture","address delivered to an audience","http://www.wikidata.org/entity/Q861911",FALSE,NA,FALSE,NA,6,"Q861911",TRUE,TRUE
"67","secondary school","secondary school","","organization where secondary education is provided","http://www.wikidata.org/entity/Q159334",FALSE,NA,FALSE,NA,6,"Q159334",TRUE,TRUE
"68","William Frauenglass","William Frauenglass","","American high school teacher fired during McCarthyism","http://www.wikidata.org/entity/Q56728865",FALSE,NA,FALSE,NA,6,"Q56728865",TRUE,TRUE
"69","Albert Einstein Gymnasium","Albert Einstein Gymnasium","","School in Hameln, Germany","http://www.wikidata.org/entity/Q1790085",FALSE,NA,FALSE,NA,5,"Q1790085",TRUE,TRUE
"70","American culture","culture of the United States","American culture","culture of an area","http://www.wikidata.org/entity/Q1044835",FALSE,NA,FALSE,NA,5,"Q1044835",TRUE,TRUE
"71","aortic aneurysm","aortic aneurysm","","orta to greater than 1.5 times normal size.","http://www.wikidata.org/entity/Q616003",FALSE,NA,FALSE,NA,5,"Q616003",TRUE,TRUE
"72","district court","district court","","category of courts","http://www.wikidata.org/entity/Q75029",FALSE,NA,FALSE,NA,5,"Q75029",TRUE,TRUE
"73","first cousin","first cousin","","child of an uncle or aunt","http://www.wikidata.org/entity/Q76666",FALSE,NA,FALSE,NA,5,"Q76666",TRUE,TRUE
"74","Luitpold Gymnasium","Luitpold Gymnasium","","","http://www.wikidata.org/entity/Q2324614",FALSE,NA,FALSE,NA,5,"Q2324614",TRUE,TRUE
"75","mathematical structure","mathematical structure","","additional mathematical object that, in some manner, attaches (or relates) to that set to endow it with some additional meaning or significance","http://www.wikidata.org/entity/Q748349",FALSE,NA,FALSE,NA,5,"Q748349",TRUE,TRUE
"76","quantum information theory","quantum information science","quantum information theory","interdisciplinary theory behind quantum computing","http://www.wikidata.org/entity/Q2122216",FALSE,NA,FALSE,NA,5,"Q2122216",TRUE,TRUE
"77","Student Union","students' union","student union","type of student organization","http://www.wikidata.org/entity/Q877998",FALSE,NA,FALSE,NA,5,"Q877998",TRUE,TRUE
"78","World War II in Europe","European Theatre of World War II","World War II in Europe","huge area of heavy fighting across Europe","http://www.wikidata.org/entity/Q44700",FALSE,NA,FALSE,NA,5,"Q44700",TRUE,TRUE
"79","auction house","auction house","","place or business where auctions are held","http://www.wikidata.org/entity/Q9209474",FALSE,NA,FALSE,NA,4,"Q9209474",TRUE,TRUE
"80","critical point","critical point","","Temperature and pressure point where phase boundaries disappear","http://www.wikidata.org/entity/Q111059",FALSE,NA,FALSE,NA,4,"Q111059",TRUE,TRUE
"81","German culture","culture of Germany","German culture","culture of an area","http://www.wikidata.org/entity/Q1979615",FALSE,NA,FALSE,NA,4,"Q1979615",TRUE,TRUE
"82","gravitational field","gravitational field","","field","http://www.wikidata.org/entity/Q558066",FALSE,NA,FALSE,NA,4,"Q558066",TRUE,TRUE
"83","harmonic oscillator","harmonic oscillator","","physical system that responds to a restoring force inversely proportional to displacement","http://www.wikidata.org/entity/Q190070",FALSE,NA,FALSE,NA,4,"Q190070",TRUE,TRUE
"84","hydrogen gas","dihydrogen","hydrogen gas","primary form in which hydrogen is found","http://www.wikidata.org/entity/Q3027893",FALSE,NA,FALSE,NA,4,"Q3027893",TRUE,TRUE
"85","MIT OpenCourseWare","MIT OpenCourseWare","","a web-based publication of virtually all MIT course content","http://www.wikidata.org/entity/Q1637597",FALSE,NA,FALSE,NA,4,"Q1637597",TRUE,TRUE
"86","Nazi propaganda","Nazi propaganda","","","http://www.wikidata.org/entity/Q705157",FALSE,NA,FALSE,NA,4,"Q705157",TRUE,TRUE
"87","nuclear physicist","nuclear physicist","","physicist in nuclear science","http://www.wikidata.org/entity/Q16742096",FALSE,NA,FALSE,NA,4,"Q16742096",TRUE,TRUE
"88","orbital period","orbital period","","time taken for a given object to make one complete orbit around another object, and applies in astronomy to mostly either planets or asteroids orbiting the Sun, moons orbiting planets, exoplanets orbiting other stars, or binary stars","http://www.wikidata.org/entity/Q37640",FALSE,NA,FALSE,NA,4,"Q37640",TRUE,TRUE
"89","scientific journal","scientific journal","","periodical journal publishing scientific research","http://www.wikidata.org/entity/Q5633421",FALSE,NA,FALSE,NA,4,"Q5633421",TRUE,TRUE
